timestamp,heart_rate,distance,hr_zone
2025-05-07 13:56:23,89,0.0,Below Zone 1
2025-05-07 13:56:24,89,0.0,Below Zone 1
2025-05-07 13:56:27,88,0.0,Below Zone 1
2025-05-07 13:56:28,89,0.0,Below Zone 1
2025-05-07 13:56:30,90,0.0,Below Zone 1
2025-05-07 13:56:31,91,0.0,Below Zone 1
2025-05-07 13:56:32,92,0.0,Below Zone 1
2025-05-07 13:56:34,93,0.0,Below Zone 1
2025-05-07 13:56:35,94,0.0,Below Zone 1
2025-05-07 13:56:36,95,0.0,Below Zone 1
2025-05-07 13:56:38,96,0.0,Below Zone 1
2025-05-07 13:56:40,97,0.0,Below Zone 1
2025-05-07 13:56:45,96,0.0,Below Zone 1
2025-05-07 13:56:46,95,0.0,Below Zone 1
2025-05-07 13:56:47,93,0.0,Below Zone 1
2025-05-07 13:56:49,92,0.0,Below Zone 1
2025-05-07 13:56:50,91,0.0,Below Zone 1
2025-05-07 13:56:51,90,0.0,Below Zone 1
2025-05-07 13:56:54,89,0.0,Below Zone 1
2025-05-07 13:57:00,90,0.0,Below Zone 1
2025-05-07 13:57:03,89,0.0,Below Zone 1
2025-05-07 13:57:06,88,0.0,Below Zone 1
2025-05-07 13:57:08,89,0.0,Below Zone 1
2025-05-07 13:57:09,91,0.0,Below Zone 1
2025-05-07 13:57:10,92,0.0,Below Zone 1
2025-05-07 13:57:11,93,0.0,Below Zone 1
2025-05-07 13:57:13,92,0.0,Below Zone 1
2025-05-07 13:57:16,93,0.0,Below Zone 1
2025-05-07 13:57:20,94,0.0,Below Zone 1
2025-05-07 13:57:21,95,0.0,Below Zone 1
2025-05-07 13:57:25,96,0.0,Below Zone 1
2025-05-07 13:57:31,95,0.0,Below Zone 1
2025-05-07 13:57:35,96,0.0,Below Zone 1
2025-05-07 13:57:39,97,0.0,Below Zone 1
2025-05-07 13:57:41,99,0.0,Below Zone 1
2025-05-07 13:57:42,100,0.0,Below Zone 1
2025-05-07 13:57:44,101,0.0,Below Zone 1
2025-05-07 13:57:45,100,0.0,Below Zone 1
2025-05-07 13:57:48,99,0.0,Below Zone 1
2025-05-07 13:57:51,98,0.0,Below Zone 1
2025-05-07 13:57:53,97,0.0,Below Zone 1
2025-05-07 13:57:56,96,0.0,Below Zone 1
2025-05-07 13:57:59,95,0.0,Below Zone 1
2025-05-07 13:58:00,96,0.0,Below Zone 1
2025-05-07 13:58:02,97,0.0,Below Zone 1
2025-05-07 13:58:03,98,0.0,Below Zone 1
2025-05-07 13:58:04,99,0.0,Below Zone 1
2025-05-07 13:58:06,100,0.0,Below Zone 1
2025-05-07 13:58:07,101,0.0,Below Zone 1
2025-05-07 13:58:08,102,0.0,Below Zone 1
2025-05-07 13:58:09,103,0.0,Below Zone 1
2025-05-07 13:58:10,104,0.0,Below Zone 1
2025-05-07 13:58:12,105,0.0,Below Zone 1
2025-05-07 13:58:15,106,0.0,Below Zone 1
2025-05-07 13:58:16,105,0.0,Below Zone 1
2025-05-07 13:58:17,106,0.0,Below Zone 1
2025-05-07 13:58:24,105,0.0,Below Zone 1
2025-05-07 13:58:25,104,0.0,Below Zone 1
2025-05-07 13:58:26,103,0.0,Below Zone 1
2025-05-07 13:58:28,102,0.0,Below Zone 1
2025-05-07 13:58:31,101,0.0,Below Zone 1
2025-05-07 13:58:33,100,0.0,Below Zone 1
2025-05-07 13:58:34,99,0.0,Below Zone 1
2025-05-07 13:58:37,100,0.0,Below Zone 1
2025-05-07 13:58:39,101,0.0,Below Zone 1
2025-05-07 13:58:40,102,0.0,Below Zone 1
2025-05-07 13:58:44,103,0.0,Below Zone 1
2025-05-07 13:58:47,104,0.0,Below Zone 1
2025-05-07 13:58:50,103,0.0,Below Zone 1
2025-05-07 13:58:52,104,0.0,Below Zone 1
2025-05-07 13:58:55,105,0.0,Below Zone 1
2025-05-07 13:58:58,106,0.0,Below Zone 1
2025-05-07 13:59:00,107,0.0,Below Zone 1
2025-05-07 13:59:02,108,0.0,Below Zone 1
2025-05-07 13:59:03,109,0.0,Below Zone 1
2025-05-07 13:59:08,110,0.0,Below Zone 1
2025-05-07 13:59:11,111,0.0,Below Zone 1
2025-05-07 13:59:14,112,0.0,Below Zone 1
2025-05-07 13:59:18,111,0.0,Below Zone 1
2025-05-07 13:59:22,110,0.0,Below Zone 1
2025-05-07 13:59:23,109,0.0,Below Zone 1
2025-05-07 13:59:24,108,0.0,Below Zone 1
2025-05-07 13:59:26,107,0.0,Below Zone 1
2025-05-07 13:59:28,108,0.0,Below Zone 1
2025-05-07 13:59:30,107,0.0,Below Zone 1
2025-05-07 13:59:31,109,0.0,Below Zone 1
2025-05-07 13:59:32,108,0.0,Below Zone 1
2025-05-07 13:59:33,109,0.0,Below Zone 1
2025-05-07 13:59:34,108,0.0,Below Zone 1
2025-05-07 13:59:37,107,0.0,Below Zone 1
2025-05-07 13:59:39,106,0.0,Below Zone 1
2025-05-07 13:59:40,105,0.0,Below Zone 1
2025-05-07 13:59:43,104,0.0,Below Zone 1
2025-05-07 13:59:44,103,0.0,Below Zone 1
2025-05-07 13:59:46,104,0.0,Below Zone 1
2025-05-07 13:59:47,103,0.0,Below Zone 1
2025-05-07 13:59:51,102,0.0,Below Zone 1
2025-05-07 13:59:54,101,0.0,Below Zone 1
2025-05-07 13:59:58,100,0.0,Below Zone 1
