timestamp,heart_rate,speed,altitude,distance,speed_kmh,hr_zone
2025-05-09 17:47:14,110,6.802,342.20000000000005,416.74,24.487199999999998,Below Zone 1
2025-05-09 17:47:15,109,6.923,342.0,423.69,24.922800000000002,Below Zone 1
2025-05-09 17:47:17,108,6.942,341.6,437.84,24.991200000000003,Below Zone 1
2025-05-09 17:47:18,107,6.998,341.20000000000005,444.85,25.192800000000002,Below Zone 1
2025-05-09 17:47:19,107,7.007,341.4,451.7,25.2252,Below Zone 1
2025-05-09 17:47:21,107,6.998,341.0,465.35,25.192800000000002,Below Zone 1
2025-05-09 17:47:22,107,6.923,340.79999999999995,472.12,24.922800000000002,Below Zone 1
2025-05-09 17:47:23,107,6.886,340.6,479.03,24.7896,Below Zone 1
2025-05-09 17:47:25,107,6.961,340.0,492.97,25.059600000000003,Below Zone 1
2025-05-09 17:47:26,106,6.886,339.79999999999995,499.83,24.7896,Below Zone 1
2025-05-09 17:47:27,106,6.877,339.6,506.19,24.7572,Below Zone 1
2025-05-09 17:47:28,104,6.774,339.4,512.58,24.386400000000002,Below Zone 1
2025-05-09 17:47:29,103,6.168,339.20000000000005,518.66,22.204800000000002,Below Zone 1
2025-05-09 17:47:30,103,6.531,339.0,524.46,23.511599999999998,Below Zone 1
2025-05-09 17:47:31,103,5.533,339.0,530.07,19.9188,Below Zone 1
2025-05-09 17:47:32,102,5.365,338.6,535.83,19.314,Below Zone 1
2025-05-09 17:47:33,101,5.365,338.4,541.65,19.314,Below Zone 1
2025-05-09 17:47:34,101,5.533,338.20000000000005,547.46,19.9188,Below Zone 1
2025-05-09 17:47:36,101,5.533,338.0,558.44,19.9188,Below Zone 1
2025-05-09 17:47:37,100,5.533,338.0,563.83,19.9188,Below Zone 1
2025-05-09 17:47:38,101,5.533,338.0,569.48,19.9188,Below Zone 1
2025-05-09 17:47:39,102,5.533,338.0,574.96,19.9188,Below Zone 1
2025-05-09 17:47:40,103,5.533,337.79999999999995,580.55,19.9188,Below Zone 1
2025-05-09 17:47:41,103,5.533,337.79999999999995,586.16,19.9188,Below Zone 1
2025-05-09 17:47:43,104,5.561,337.79999999999995,597.3,20.0196,Below Zone 1
2025-05-09 17:47:44,104,5.533,337.6,602.85,19.9188,Below Zone 1
2025-05-09 17:47:46,105,5.552,337.6,613.78,19.987199999999998,Below Zone 1
2025-05-09 17:47:47,105,5.552,337.6,619.36,19.987199999999998,Below Zone 1
2025-05-09 17:47:48,105,5.552,337.6,624.67,19.987199999999998,Below Zone 1
2025-05-09 17:47:49,106,5.552,337.6,630.02,19.987199999999998,Below Zone 1
2025-05-09 17:47:50,106,5.048,337.6,634.05,18.172800000000002,Below Zone 1
2025-05-09 17:47:51,106,3.639,337.79999999999995,637.98,13.100399999999999,Below Zone 1
2025-05-09 17:47:52,107,3.527,337.79999999999995,640.43,12.6972,Below Zone 1
2025-05-09 17:47:53,108,3.527,337.79999999999995,642.85,12.6972,Below Zone 1
2025-05-09 17:47:54,108,3.658,337.79999999999995,646.4,13.1688,Below Zone 1
2025-05-09 17:47:55,108,4.712,337.79999999999995,650.31,16.9632,Below Zone 1
2025-05-09 17:47:56,109,4.712,337.79999999999995,654.51,16.9632,Below Zone 1
2025-05-09 17:47:57,110,3.966,338.0,660.36,14.277600000000001,Below Zone 1
2025-05-09 17:47:58,110,3.9,338.0,661.34,14.04,Below Zone 1
2025-05-09 17:47:59,111,1.68,337.79999999999995,661.34,6.048,Below Zone 1
2025-05-09 17:48:00,112,1.026,338.0,661.51,3.6936,Below Zone 1
2025-05-09 17:48:01,113,0.952,338.0,661.97,3.4272,Below Zone 1
2025-05-09 17:48:02,114,0.952,338.0,673.41,3.4272,Below Zone 1
2025-05-09 17:48:03,114,2.622,338.0,684.44,9.4392,Below Zone 1
2025-05-09 17:48:05,115,3.266,338.20000000000005,695.4,11.7576,Below Zone 1
2025-05-09 17:48:06,116,2.939,338.4,695.4,10.580400000000001,Below Zone 1
2025-05-09 17:48:07,117,2.669,338.4,697.0,9.6084,Below Zone 1
2025-05-09 17:48:08,117,2.622,338.6,700.31,9.4392,Below Zone 1
2025-05-09 17:48:09,117,2.622,338.79999999999995,702.75,9.4392,Below Zone 1
2025-05-09 17:48:10,118,2.622,339.20000000000005,706.56,9.4392,Below Zone 1
2025-05-09 17:48:11,118,2.622,339.4,709.14,9.4392,Below Zone 1
2025-05-09 17:48:12,119,2.043,339.6,711.92,7.354800000000001,Zone 1 (Recovery)
2025-05-09 17:48:13,119,2.015,339.79999999999995,716.37,7.2540000000000004,Zone 1 (Recovery)
2025-05-09 17:48:14,120,2.295,340.0,720.4,8.262,Zone 1 (Recovery)
2025-05-09 17:48:19,122,2.995,341.0,740.55,10.782,Zone 1 (Recovery)
2025-05-09 17:48:20,122,2.258,341.0,742.98,8.1288,Zone 1 (Recovery)
2025-05-09 17:48:21,122,2.258,341.20000000000005,745.77,8.1288,Zone 1 (Recovery)
2025-05-09 17:48:22,123,2.566,341.4,748.65,9.2376,Zone 1 (Recovery)
2025-05-09 17:48:23,123,2.641,341.6,751.95,9.5076,Zone 1 (Recovery)
2025-05-09 17:48:24,124,2.687,341.79999999999995,755.8,9.6732,Zone 1 (Recovery)
2025-05-09 17:48:25,124,2.771,341.79999999999995,759.5,9.9756,Zone 1 (Recovery)
2025-05-09 17:48:26,125,2.781,342.0,763.39,10.011600000000001,Zone 1 (Recovery)
2025-05-09 17:48:27,125,2.781,342.0,766.86,10.011600000000001,Zone 1 (Recovery)
2025-05-09 17:48:28,125,2.781,342.20000000000005,770.47,10.011600000000001,Zone 1 (Recovery)
2025-05-09 17:48:29,126,2.781,342.4,774.14,10.011600000000001,Zone 1 (Recovery)
2025-05-09 17:48:30,126,2.818,342.6,778.2,10.1448,Zone 1 (Recovery)
2025-05-09 17:48:31,126,3.023,342.79999999999995,781.69,10.882800000000001,Zone 1 (Recovery)
2025-05-09 17:48:32,127,3.051,343.0,785.53,10.983600000000001,Zone 1 (Recovery)
2025-05-09 17:48:33,127,3.07,343.0,788.91,11.052,Zone 1 (Recovery)
2025-05-09 17:48:34,128,3.144,343.20000000000005,792.75,11.3184,Zone 1 (Recovery)
2025-05-09 17:48:35,128,3.172,343.20000000000005,797.06,11.4192,Zone 1 (Recovery)
2025-05-09 17:48:36,128,3.172,343.4,800.79,11.4192,Zone 1 (Recovery)
2025-05-09 17:48:37,128,3.172,343.6,804.12,11.4192,Zone 1 (Recovery)
2025-05-09 17:48:38,129,3.172,343.6,807.5,11.4192,Zone 1 (Recovery)
2025-05-09 17:48:39,128,3.144,343.79999999999995,810.64,11.3184,Zone 1 (Recovery)
2025-05-09 17:48:40,129,2.482,343.79999999999995,813.71,8.935200000000002,Zone 1 (Recovery)
2025-05-09 17:48:41,129,2.79,344.0,816.73,10.044,Zone 1 (Recovery)
2025-05-09 17:48:42,128,2.874,344.20000000000005,819.85,10.346400000000001,Zone 1 (Recovery)
2025-05-09 17:48:43,129,2.827,344.4,822.11,10.177200000000001,Zone 1 (Recovery)
2025-05-09 17:48:44,129,2.79,344.4,825.13,10.044,Zone 1 (Recovery)
2025-05-09 17:48:45,129,2.482,344.6,827.89,8.935200000000002,Zone 1 (Recovery)
2025-05-09 17:48:46,129,2.426,344.6,831.13,8.733600000000001,Zone 1 (Recovery)
2025-05-09 17:48:47,129,1.959,344.79999999999995,833.39,7.0524000000000004,Zone 1 (Recovery)
2025-05-09 17:48:48,130,2.267,345.0,835.61,8.1612,Zone 1 (Recovery)
2025-05-09 17:48:49,130,2.221,345.0,837.82,7.9956000000000005,Zone 1 (Recovery)
2025-05-09 17:48:50,130,2.137,345.4,840.19,7.6932,Zone 1 (Recovery)
2025-05-09 17:48:51,130,1.987,345.6,843.34,7.153200000000001,Zone 1 (Recovery)
