timestamp,heart_rate,distance,hr_zone
2025-05-22 17:09:56,109,0.0,Below Zone 1
2025-05-22 17:09:57,109,0.0,Below Zone 1
2025-05-22 17:09:58,110,0.0,Below Zone 1
2025-05-22 17:10:01,111,0.0,Below Zone 1
2025-05-22 17:10:03,112,0.0,Below Zone 1
2025-05-22 17:10:07,113,0.0,Below Zone 1
2025-05-22 17:10:10,114,0.0,Below Zone 1
2025-05-22 17:10:11,113,0.0,Below Zone 1
2025-05-22 17:10:14,114,0.0,Below Zone 1
2025-05-22 17:10:15,113,0.0,Below Zone 1
2025-05-22 17:10:16,114,0.0,Below Zone 1
2025-05-22 17:10:19,113,0.0,Below Zone 1
2025-05-22 17:10:26,112,0.0,Below Zone 1
2025-05-22 17:10:27,113,0.0,Below Zone 1
2025-05-22 17:10:28,112,0.0,Below Zone 1
2025-05-22 17:10:29,113,0.0,Below Zone 1
2025-05-22 17:10:33,112,0.0,Below Zone 1
2025-05-22 17:10:39,113,0.0,Below Zone 1
2025-05-22 17:10:47,112,0.0,Below Zone 1
2025-05-22 17:10:49,113,0.0,Below Zone 1
2025-05-22 17:10:50,112,0.0,Below Zone 1
2025-05-22 17:10:52,113,0.0,Below Zone 1
2025-05-22 17:10:53,112,0.0,Below Zone 1
2025-05-22 17:10:54,113,0.0,Below Zone 1
2025-05-22 17:10:58,114,0.0,Below Zone 1
2025-05-22 17:11:01,113,0.0,Below Zone 1
2025-05-22 17:11:02,114,0.0,Below Zone 1
2025-05-22 17:11:04,115,0.0,Below Zone 1
2025-05-22 17:11:08,114,0.0,Below Zone 1
2025-05-22 17:11:14,115,0.0,Below Zone 1
2025-05-22 17:11:32,114,0.0,Below Zone 1
2025-05-22 17:11:33,115,0.0,Below Zone 1
2025-05-22 17:11:37,114,0.0,Below Zone 1
2025-05-22 17:11:41,115,0.0,Below Zone 1
2025-05-22 17:11:44,116,0.0,Below Zone 1
2025-05-22 17:11:46,117,0.0,Below Zone 1
2025-05-22 17:11:48,116,0.0,Below Zone 1
2025-05-22 17:11:49,117,0.0,Below Zone 1
2025-05-22 17:11:50,116,0.0,Below Zone 1
2025-05-22 17:11:52,117,0.0,Below Zone 1
2025-05-22 17:11:58,118,0.0,Below Zone 1
2025-05-22 17:12:03,117,0.0,Below Zone 1
2025-05-22 17:12:07,116,0.0,Below Zone 1
2025-05-22 17:12:08,117,0.0,Below Zone 1
2025-05-22 17:12:23,116,0.0,Below Zone 1
2025-05-22 17:12:24,117,0.0,Below Zone 1
2025-05-22 17:12:30,118,0.0,Below Zone 1
2025-05-22 17:12:41,119,0.0,Zone 1 (Recovery)
2025-05-22 17:12:46,118,0.0,Below Zone 1
2025-05-22 17:12:47,119,0.0,Zone 1 (Recovery)
2025-05-22 17:12:49,118,0.0,Below Zone 1
2025-05-22 17:13:10,119,0.0,Zone 1 (Recovery)
2025-05-22 17:13:27,120,0.0,Zone 1 (Recovery)
2025-05-22 17:13:35,121,0.0,Zone 1 (Recovery)
2025-05-22 17:13:36,120,0.0,Zone 1 (Recovery)
2025-05-22 17:13:41,121,0.0,Zone 1 (Recovery)
2025-05-22 17:13:46,122,0.0,Zone 1 (Recovery)
2025-05-22 17:13:49,121,0.0,Zone 1 (Recovery)
2025-05-22 17:13:52,120,0.0,Zone 1 (Recovery)
2025-05-22 17:13:55,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:02,118,0.0,Below Zone 1
2025-05-22 17:14:03,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:04,118,0.0,Below Zone 1
2025-05-22 17:14:06,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:07,118,0.0,Below Zone 1
2025-05-22 17:14:08,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:09,118,0.0,Below Zone 1
2025-05-22 17:14:18,117,0.0,Below Zone 1
2025-05-22 17:14:19,118,0.0,Below Zone 1
2025-05-22 17:14:21,117,0.0,Below Zone 1
2025-05-22 17:14:24,118,0.0,Below Zone 1
2025-05-22 17:14:27,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:29,120,0.0,Zone 1 (Recovery)
2025-05-22 17:14:38,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:41,120,0.0,Zone 1 (Recovery)
2025-05-22 17:14:42,119,0.0,Zone 1 (Recovery)
2025-05-22 17:14:43,120,0.0,Zone 1 (Recovery)
2025-05-22 17:14:55,121,0.0,Zone 1 (Recovery)
2025-05-22 17:14:59,122,0.0,Zone 1 (Recovery)
2025-05-22 17:15:02,121,0.0,Zone 1 (Recovery)
2025-05-22 17:15:03,122,0.0,Zone 1 (Recovery)
2025-05-22 17:15:04,121,0.0,Zone 1 (Recovery)
2025-05-22 17:15:10,120,0.0,Zone 1 (Recovery)
2025-05-22 17:15:13,119,0.0,Zone 1 (Recovery)
2025-05-22 17:15:14,118,0.0,Below Zone 1
2025-05-22 17:15:15,117,0.0,Below Zone 1
2025-05-22 17:15:17,116,0.0,Below Zone 1
2025-05-22 17:15:20,117,0.0,Below Zone 1
2025-05-22 17:15:22,118,0.0,Below Zone 1
2025-05-22 17:15:24,119,0.0,Zone 1 (Recovery)
2025-05-22 17:15:25,120,0.0,Zone 1 (Recovery)
2025-05-22 17:15:27,119,0.0,Zone 1 (Recovery)
2025-05-22 17:15:28,120,0.0,Zone 1 (Recovery)
2025-05-22 17:15:38,121,0.0,Zone 1 (Recovery)
2025-05-22 17:15:41,120,0.0,Zone 1 (Recovery)
